distance,index
[],[]
[259.4 175.4 163.   56.7 172.3 191.4  45.5   0.  380.6 297.4 448.8 365. ],[201 180 235 129 423 110 649 258 461 605 606  22]
"[359.2 203.7 199.  444.8 219.8 431.  236.  485.7 417.8   0.  195.3 403.
 303.1 358.  118.1 431.  421.3 165.2 245.2 248.8 250.1 140.8]","[164 262 407 287 216 168 165  45  12 521 712 593 230 330 581 217 342 447
 146 261 528 183]"
"[416.7 378.6 484.6 381.5 373.7 466.9 333.4 330.  111.1  60.6 314.1 149.9
 121.6   0.  296.7 145.9 251.2 347.  290.6 194.9 232.9 283.3 156.7 212.1
 327.9 442.2 405.1]","[502  58  64 576 550 556 208 568 250 296   4 350 215  14 463 546 537 343
 406 641 435 467 101 285 426 269 344]"
"[163.    2.2 144.5 191.6   0.   53.9  63.2 489.2  78.1  99.6 112.  266.
 249.6 105.9  85.8]",[326 206 737 223  31 306 263 200 229 424 310 311 698 623 227]
[327.3 316.9 238.1 126.3   0.  174.5],[255  20 162 580 505 509]
[  0.  329.8],[ 79 475]
"[402.  354.2 340.5 340.5 340.4 340.5 365.6 372.9 129.4 103.4 169.9 145.1
 102.9   0.  165.  115.9 227.9 264.1 298.  281.5  26.6 290.6 410.5 402.
 463.  474.1 289.9 329.3]","[746 544 612 671 226 710  26 160 374  54 335 695 713 382 602 624 500 629
 685 318 347 199 205 725  95 169 334  57]"
[36.7 84.7 30.4  0. ],[ 52 243 352  75]
"[245.2 279.1 319.9 443.3  64.6  21.4 219.8 388.5 172.8   0.    0.  298.8
  79.  439.6  59.1 298.5 234.3 183.4 386.2 303.2 283.5 174.1 392.8 236.8
 232.7 496.1 368.  368.  460.1 280.7 288.5 468.1]","[224 317 743 616 534 632 555 387 468 471  72 613 610 137 179 541 267 240
 663 100 171 246 145 642 106 496 489 607 231 189 653  28]"
[0.],[27]
"[484.3 482.1 458.1 219.7 250.1 482.2 344.7 298.4 194.9 481.  340.7 341.3
 202.9 369.3   0.   55.5 378.5 208.7  84.2 390.4 247.3 383.6 339.7 452.9
 378.  485.3 465.1 479.4]","[ 58 576 208 250 296   4 350 215  14 463 546 537 343 406 641 435 467 101
 285 426 269 344 508 490 371 491 362 204]"
[133.8  28.3 246.8 246.8   0.  335.8 482.7 248.4 484.6],[380 450 428  84 367 404 512 661 294]
"[477.7 434.  421.  418.  445.6 450.2 461.9 401.1 480.2 327.4 314.5 487.9
 352.9 321.9 436.7 435.9 342.5 327.4 362.1 362.1 278.6 261.  299.7 299.7
 229.4 405.6 393.3 393.3 373.2 152.9   0.   53.9   0.  434.2 147.8 463.2
 349.6 171.1 381.1 367.3 496.3 454.9]","[743 611 616  19 613  85 541  91 240 663 138 246 145 290 642 106 454 363
 113 582 496 187 489 607 231 189 653  33 174 634 480 394 583  97 211 402
 670 608 525 198  28  44]"
"[249.2 455.7   0.  231.6 141.8 178.6 338.7 103.8 259.1 330.9 208.8 154.4
 333.4 159.8 322.  250.7 432.7 232.6 401.5 222.5 199.8 148.9 386.7 354.5
 273.4]","[430 324 522 702 515 239 346  13 333 693 349 172  77 439 300 563 278 476
 519 479 742 495 351 628 730]"
[119.6   0.  124.9 263.6 343.3],[436  40 405 271  37]
[0.],[718]
[437.5 259.   76.1 218.1 406.1   0. ],[324 681 323 376 723 283]
[196.2 196.8   0.  318.8 280. ],[711 445 457 257 592]
[  0.  451.7 208.4 488.3 480.4 148.1],[385  39 444 665 506 456]
"[430.3 163.7 306.9 163.5 438.4 243.7 442.1 182.1 359.9 158.6 344.4 189.1
  70.8 172.2   0.    0.  250.4 243.  420.1 420.1 330.6 347.6 299.7 283.8
 362.1 316.1 362.1 373.4 499.8 362.2 342.9]","[743 611 616  19 613  85 541  91 663 138 145 290 454 363 113 582 496 187
 489 607 231  33 174 634 480 394 583  97 211 198  44]"
"[193.3 180.5  49.6 209.1 498.5 339.4   0.  146.3  45.8 444.5  39.9 149.5
 432.5  66.2 144.6 271.2 329.7 222.5 285.8 459.9]","[ 23 493 304 706 233 353 337 617 729 733 284 123 140 375  87  42 678 420
 438 264]"
"[485.3 489.  472.8 436.5 398.6   0.  101.5 396.1 196.  213.3 111.1 360.9
 189.9 361.9 409.9 182.1 219.7 233.3 178.9  57.8 191.3 217.7 451.6 301.1
 403.4 454.8 428.8]","[ 58 576 550 208 568 250 296   4 350 215  14 463 546 537 343 406 641 435
 467 101 285 426 269 344 490 491 362]"
"[120.1 274.1 336.8 365.3 358.4 444.5 404.1 453.5 481.9  26.6   7.6   0.
 395.  125.2 123.7 164.2 305.7]",[270 119 599 254 535 626 116 553 470 315  61 338 182  70 684  18 163]
"[225.5 218.1 269.2 410.7 271.2 421.5 467.5 317.4 310.2 349.8 349.5 427.9
 275.4 226.7 303.1 214.4 161.8   0.  477.4 105.1 430.3 213.4 448.4 499.2
 462.4 487.7 372.4 428.6 471.7 198.4 315.  423.1]","[164 262 407 287 216 416 148 168 165 340  90 104  45  12 521 712 593 230
  73 330 503 581 540 441  60 184 217 212 355 342 447 183]"
[0.],[631]
"[363.2  48.5 168.3 398.7 471.7   5.9   0.  303.7  88.5  77.6 297.8 374.7
 184.9  90.   74.9]",[694 731 513 564 719 588 603 314 281 600 717 464 292 203 704]
[321.6 333.6  31.5 286.7 188.9 216.8 121.  441.  379.2   0.  486.5  15. ],[643 222  51  92 732  43 575 307 196 157 675  82]
[70.8  0.  67. ],[ 66  55 622]
[  0.  183.9 128.1 468.3],[400 421   6 272]
"[259.1 485.7 282.  269.6 310.8 486.9 154.7 295.5   0.  172.8  88.1 112.
 107.6 103.9  63.  179.  194.  179.6 399.3 224.7  38.2 194.5 227.2 449.4
 317.  223.1]","[522 702 515 239 677 591 346  13 333 693 349 172  77 439 300 563 278 476
 625 519 479 742 495  68 628 730]"
[  0.  148.8 170.1 122.6 103.8 175.5],[  8  80 228  59 619  48]
[431.6 100.4   0.  154.7 307.1],[518 736 655  17 549]
[487.2  45.   34.6 200.9   0.   16.   53.9  54.5],[320 173 437 242 497 345 142 309]
