store,initial longitude,initial latitude,neighbor id,neighbor store,neighbor longitude,neighbor latitude,distance,counts,id,business_id,name,address,postal_code,attributes,stars,categories
Arby's,-113.4174423,53.5879097,37132,McDonald's,-113.59473,53.519753,[  1 407 175 483 386 527 464],6,37132,GrfFulYVrfWIKmwa1dHktg,McDonald's,15730 87th Avenue,T5R 5W9,"{""RestaurantsPriceRange2"":""1"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""BikeParking"":""True"",""RestaurantsTakeOut"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsGoodForGroups"":""True"",""OutdoorSeating"":""True"",""RestaurantsAttire"":""u'casual'"",""RestaurantsDelivery"":""True"",""BusinessAcceptsCreditCards"":""True"",""WiFi"":""u'free'"",""Caters"":""False"",""Alcohol"":""u'none'"",""NoiseLevel"":""u'average'"",""RestaurantsReservations"":""False"",""GoodForKids"":""True""}",2.5,"Restaurants, Burgers, Coffee & Tea, Fast Food, Food"
Arby's,-113.4174423,53.5879097,21299,Tim Hortons,-113.41907,53.589336,[ 76 326  21 385 119 282 150  41 192 145 170  72 476 329 410  46 430 515],6,21299,jvHMq4TtoB0hUGFk8YmZkg,Tim Hortons,12996 50 Street NW,T5A 4L2,"{""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""OutdoorSeating"":""False"",""RestaurantsReservations"":""False"",""Alcohol"":""u'none'"",""RestaurantsDelivery"":""False"",""RestaurantsAttire"":""u'casual'"",""RestaurantsPriceRange2"":""1"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""GoodForKids"":""True"",""WiFi"":""u'free'"",""HasTV"":""True""}",3,"Restaurants, Coffee & Tea, Food, Sandwiches, Delis"
Arby's,-113.4174423,53.5879097,87998,Brits Fish & Chips,-113.44566,53.506516,[146 137 156 422 218  17   9],6,87998,-3GD07waps96fB_okEwFqw,Brits Fish & Chips,6940 77 Street NW,T6E 6V2,"{""RestaurantsDelivery"":""False"",""RestaurantsReservations"":""False"",""NoiseLevel"":""u'quiet'"",""GoodForKids"":""True"",""OutdoorSeating"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsTableService"":""False"",""Caters"":""False"",""WiFi"":""u'no'"",""HasTV"":""True"",""BikeParking"":""True"",""Alcohol"":""u'none'"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}",3.5,"Restaurants, British"
Arby's,-113.4174423,53.5879097,20846,Oodle Noodle,-113.48243,53.410873,[ 51  96 399 113 220  36  77 480  59  37],6,20846,iz2ZDUqCK2lnx3wNI4Pl5w,Oodle Noodle,126-9080 25 Avenue SW,T6x 2H4,"{""RestaurantsTableService"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsDelivery"":""True""}",2.5,"Restaurants, Asian Fusion"
Arby's,-113.4174423,53.5879097,18686,Denny's,-113.61358,53.571083,[305 325 158],6,18686,1Nvx5xo_cErlEqpubzocSg,Denny's,16806 118 Avenue,T5V 1M8,"{""RestaurantsAttire"":""'formal'"",""BikeParking"":""False"",""GoodForKids"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""False"",""HasTV"":""True"",""RestaurantsDelivery"":""True"",""OutdoorSeating"":""True"",""RestaurantsTakeOut"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""WiFi"":""'free'""}",3,"Restaurants, American (Traditional), Breakfast & Brunch, Cafes, Diners"
Arby's,-113.4174423,53.5879097,47114,Hudsons Canadian Tap House,-113.515205,53.54661,[293  82],6,47114,5te2MO4PYzZkcRFX0DJyFQ,Hudsons Canadian Tap House,11248 104 Avenue NW,T5K 2X4,"{""GoodForKids"":""False"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""Alcohol"":""u'full_bar'"",""RestaurantsDelivery"":""False"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""WiFi"":""'free'"",""RestaurantsTakeOut"":""True"",""HasTV"":""True"",""Caters"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BikeParking"":""True"",""RestaurantsReservations"":""False"",""OutdoorSeating"":""True"",""NoiseLevel"":""u'average'"",""HappyHour"":""True""}",3,"Bars, Nightlife, American (Traditional), Sports Bars, Burgers, American (New), Restaurants, Pubs, Chicken Wings"
Boston Pizza,-113.6126328,53.54173279,96963,Wild Wing,-113.490906,53.619366,[  1 407 175 483 386 527 464],30,96963,GpIeqqDZt4nBmOAXKLBQQA,Wild Wing,15845-97 Street NW,T5X 0C7,"{""RestaurantsTakeOut"":""True"",""Alcohol"":""u'beer_and_wine'"",""RestaurantsGoodForGroups"":""True"",""HasTV"":""True"",""GoodForKids"":""True"",""RestaurantsAttire"":""'casual'"",""RestaurantsReservations"":""True"",""BikeParking"":""False"",""NoiseLevel"":""'average'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'touristy': False, 'hipster': None, 'romantic': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True}"",""OutdoorSeating"":""True"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsDelivery"":""True""}",3,"Chicken Wings, Restaurants"
Boston Pizza,-113.6126328,53.54173279,90337,Chicago Joe's Pizza & Pub,-113.502075,53.61859,[ 76 326  21 385 119 282 150  41 192 145 170  72 476 329 410  46 430 515],30,90337,WQcwz5VJ0WZ6jaQyB3mQHw,Chicago Joe's Pizza & Pub,10425 158 Ave NW,T5X 5E5,"{""RestaurantsReservations"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""WiFi"":""'no'"",""RestaurantsPriceRange2"":""2"",""GoodForKids"":""False"",""RestaurantsDelivery"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsAttire"":""'casual'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""Alcohol"":""'full_bar'"",""HasTV"":""True""}",4,"Restaurants, Pubs, Bars, Pizza, Nightlife"
Boston Pizza,-113.6126328,53.54173279,69605,Wok Box,-113.47586,53.426025,[146 137 156 422 218  17   9],30,69605,hNCTEVyNFLBZYnXzBJpWGw,Wok Box,9228 Ellerslie Road SW,T6X 0K6,"{""RestaurantsTakeOut"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsReservations"":""False"",""RestaurantsDelivery"":""True""}",2.5,"Fast Food, Chinese, Restaurants, Asian Fusion"
Boston Pizza,-113.6126328,53.54173279,64004,Delux Burger Bar,-113.624016,53.523304,[ 51  96 399 113 220  36  77 480  59  37],30,64004,Lh3bCDJiO596SXir6e2T0A,Delux Burger Bar,"West Edmonton Mall, Bourbon Street",T5N 4J2,"{""OutdoorSeating"":""False"",""GoodForKids"":""True"",""RestaurantsDelivery"":""False"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""True"",""Alcohol"":""u'full_bar'"",""WiFi"":""u'no'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': True, 'trendy': False, 'hipster': False, 'casual': False}"",""RestaurantsTakeOut"":""True"",""HasTV"":""True"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""NoiseLevel"":""u'average'""}",3.5,"Burgers, Restaurants"
