STORE,LATITUDE,LONGITUDE,NEIGHBOR ID,NEIGHBOR STORE,NEIGHBOR LATITUDE,NEIGHBOR LONGITUDE,DISTANCE,COUNTS,id,business_id,name,address,postal_code,attributes,stars,categories
Subway,53.591365814208984,-113.41795349121094,94341,Mary Brown's Famous Chicken & Taters,53.54684,-113.51683,[0.],20,94341,OtNrJq0ig_paSukazWRYSg,Mary Brown's Famous Chicken & Taters,11358 104 Avenue NW,T5K 2X4,"{""RestaurantsGoodForGroups"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsTableService"":""False"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsDelivery"":""True"",""GoodForKids"":""True"",""RestaurantsReservations"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsAttire"":""'casual'"",""NoiseLevel"":""u'quiet'"",""RestaurantsPriceRange2"":""1"",""DriveThru"":""False"",""HasTV"":""True"",""BikeParking"":""False"",""RestaurantsTakeOut"":""True"",""Caters"":""True""}",4.0,"Restaurants, Fast Food"
Subway,53.591365814208984,-113.41795349121094,106380,Dairy Queen Grill & Chill,53.50627,-113.485794,[152.9 209.1 188.5 250.1 323.5 195.6 117.7 313.7   0.  326.2  36.1],20,106380,QkIkWiwrT6FbAtZrSKhGLg,Dairy Queen Grill & Chill,9855 70 Avenue NW,T6E 0V6,"{""RestaurantsPriceRange2"":""1"",""GoodForKids"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsAttire"":""u'casual'"",""RestaurantsReservations"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""NoiseLevel"":""u'average'"",""HasTV"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Alcohol"":""u'none'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsGoodForGroups"":""True"",""OutdoorSeating"":""True"",""RestaurantsDelivery"":""True"",""RestaurantsTableService"":""False"",""DriveThru"":""True""}",2.5,"Ice Cream & Frozen Yogurt, Burgers, Restaurants, Food, Fast Food"
Subway,53.591365814208984,-113.41795349121094,45810,McDonald's,53.487587,-113.495735,[0.],20,45810,uVXm-khx_kNEnhKLgn8jUg,McDonald's,10375 51st Avenue,T6H 5H4,"{""BikeParking"":""True"",""OutdoorSeating"":""False"",""RestaurantsTakeOut"":""True"",""Caters"":""False"",""RestaurantsReservations"":""False"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""HasTV"":""True"",""RestaurantsPriceRange2"":""1"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""GoodForKids"":""True"",""RestaurantsGoodForGroups"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"",""Alcohol"":""u'none'"",""NoiseLevel"":""u'average'"",""WiFi"":""u'free'"",""DriveThru"":""True"",""RestaurantsTableService"":""False"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsDelivery"":""True""}",2.0,"Burgers, Restaurants, Food, Coffee & Tea, Fast Food"
Subway,53.591365814208984,-113.41795349121094,96099,Remedy Cafe,53.540913,-113.4974,"[ 91.6 175.6   0.  125.2 340.2  62.6 165.2 300.2 122.7 455.9 203.6  92.
 311.4 197.8 187.6 261.8]",20,96099,26EPJeHypRPvF4UgJWi2Zw,Remedy Cafe,10279 Jasper Avenue,T5J 2W4,"{""Alcohol"":""u'beer_and_wine'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsAttire"":""u'casual'"",""RestaurantsGoodForGroups"":""True"",""BikeParking"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""False"",""WiFi"":""u'free'"",""GoodForKids"":""True"",""Caters"":""False"",""RestaurantsTakeOut"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"",""NoiseLevel"":""u'average'"",""Ambience"":""{'touristy': False, 'hipster': True, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""OutdoorSeating"":""True"",""RestaurantsDelivery"":""True"",""HasTV"":""True""}",3.5,"Indian, Pakistani, Coffee & Tea, Food, Restaurants"
Subway,53.591365814208984,-113.41795349121094,75252,McDonald's,53.494934,-113.66468,"[261.6 270.8   0.   74.2 116.  173.4 400.6  97.4 144.3 335.2 350.4 415.7
  18.1  18.9  93.9 265.4 430.7 418.  190.6 273.5 327.4 435.  483.  479.9
 493.8]",20,75252,mvJazJqQvm7CO7kykpDptg,McDonald's,6215 199th Street,T5T 2P4,"{""RestaurantsReservations"":""False"",""BikeParking"":""True"",""Alcohol"":""'none'"",""RestaurantsPriceRange2"":""1"",""OutdoorSeating"":""False"",""RestaurantsGoodForGroups"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""GoodForKids"":""True"",""RestaurantsAttire"":""'casual'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""HasTV"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsDelivery"":""True"",""WiFi"":""u'free'"",""DriveThru"":""True"",""GoodForMeal"":""None"",""BusinessAcceptsCreditCards"":""True""}",2.5,"Fast Food, Coffee & Tea, Food, Burgers, Restaurants"
Subway,53.591365814208984,-113.41795349121094,34114,Cora,53.540047,-113.50236,[434.  387.9  82.2   0.   85.9],20,34114,JjR-spxq6lVpIXHPrFKy7g,Cora,10041 106th Street NW,T5J 1G3,"{""HasTV"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""BusinessParking"":""{u'valet': False, u'garage': True, u'street': True, u'lot': None, u'validated': None}"",""Ambience"":""{u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': None}""}",4.0,"Restaurants, Breakfast & Brunch, Cafes, Creperies"
Subway,53.591365814208984,-113.41795349121094,49216,State & Main Kitchen & Bar,53.484303,-113.515785,[267.  223.6 114.3 407.4  26.7   0. ],20,49216,MgQbdvwKXEJC-LvySLlabg,State & Main Kitchen & Bar,850 - 5015 111 Street NW,T6H 4M6,"{""BikeParking"":""True"",""NoiseLevel"":""u'average'"",""RestaurantsTakeOut"":""True"",""OutdoorSeating"":""True"",""RestaurantsPriceRange2"":""2"",""HasTV"":""True"",""WiFi"":""'free'"",""RestaurantsGoodForGroups"":""True"",""Alcohol"":""u'full_bar'"",""Music"":""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""Caters"":""False"",""GoodForKids"":""True"",""BestNights"":""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"",""GoodForMeal"":""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"",""GoodForDancing"":""False"",""HappyHour"":""True"",""RestaurantsReservations"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': None, 'trendy': True, 'upscale': False, 'classy': False, 'casual': None}"",""RestaurantsDelivery"":""True"",""BusinessAcceptsCreditCards"":""True""}",3.5,"Nightlife, Bars, American (Traditional), Restaurants"
Subway,53.591365814208984,-113.41795349121094,173,Filistix,53.538696,-113.50426,[  0.  251.9 251.4],20,173,NxZoFqoXTSLLReG38FTRqg,Filistix,10621 100 Ave NW,T5J 0B3,"{""RestaurantsTableService"":""True"",""RestaurantsDelivery"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsReservations"":""True"",""HappyHour"":""True"",""OutdoorSeating"":""False"",""Caters"":""True"",""RestaurantsTakeOut"":""True"",""Alcohol"":""u'full_bar'"",""WiFi"":""u'free'"",""WheelchairAccessible"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""DogsAllowed"":""False"",""HasTV"":""False"",""BikeParking"":""False"",""Ambience"":""{u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': True, u'romantic': None, u'classy': None, u'upscale': False}""}",4.5,"Filipino, Restaurants, Comfort Food, Asian Fusion, Malaysian"
Subway,53.591365814208984,-113.41795349121094,81386,Top Donair,53.54211,-113.41842,[  0.  257.1],20,81386,y9DacB6nnSJ42l3Y2y2h3w,Top Donair,"50 St, Unit 10137",T6A 2C1,"{""OutdoorSeating"":""False"",""NoiseLevel"":""u'loud'"",""Caters"":""False"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""HasTV"":""True"",""GoodForKids"":""True"",""Alcohol"":""u'none'"",""RestaurantsReservations"":""False"",""BikeParking"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsPriceRange2"":""2"",""WiFi"":""u'no'"",""RestaurantsGoodForGroups"":""False"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsAttire"":""u'casual'"",""RestaurantsDelivery"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",3.0,"Mediterranean, Restaurants, Pizza"
Subway,53.591365814208984,-113.41795349121094,98927,Vivo Ristorante,53.48573,-113.642105,"[488.6 418.6 406.8 253.7 453.2 158.3   0.  408.9 169.9 163.  208.4 190.4
 421.9 248.5 348.4 398.7 372.9 457.3 483.8]",20,98927,qnZnegQQ7swK1xBzQaEVNw,Vivo Ristorante,18352 Lessard Rd,T6M 2W8,"{""WiFi"":""u'no'"",""NoiseLevel"":""u'average'"",""RestaurantsAttire"":""u'dressy'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsDelivery"":""True"",""BikeParking"":""True"",""RestaurantsReservations"":""True"",""GoodForKids"":""False"",""RestaurantsPriceRange2"":""3"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"",""RestaurantsTableService"":""True"",""OutdoorSeating"":""False"",""Alcohol"":""u'full_bar'"",""HasTV"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsGoodForGroups"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"",""Caters"":""True"",""BusinessAcceptsCreditCards"":""True""}",4.0,"Italian, Restaurants"
Lee House,53.51545333862305,-113.49809265136719,52132,Blaze Pizza,53.61755,-113.39751,[0.],15,52132,9PCU1jKEaysLfaETpYEHxg,Blaze Pizza,15709 - 37th St,T5Y 0S5,"{""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsAttire"":""u'casual'"",""RestaurantsPriceRange2"":""2"",""RestaurantsTakeOut"":""True"",""BikeParking"":""True"",""OutdoorSeating"":""False"",""RestaurantsTableService"":""False"",""HasTV"":""True"",""Alcohol"":""u'none'"",""WiFi"":""'free'"",""DriveThru"":""False"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""True"",""RestaurantsReservations"":""False"",""NoiseLevel"":""u'average'"",""Caters"":""False"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""RestaurantsDelivery"":""True""}",4.5,"Restaurants, Pizza, Salad, Fast Food, Gluten-Free"
Lee House,53.51545333862305,-113.49809265136719,338,Grandma Pizza,53.494556,-113.57839,[152.9 209.1 188.5 250.1 323.5 195.6 117.7 313.7   0.  326.2  36.1],15,338,aAadqM2ezCEGdSqhx78ZCg,Grandma Pizza,5677 Riverbend Road,T6H 5K4,"{""RestaurantsTakeOut"":""True"",""GoodForKids"":""True"",""RestaurantsDelivery"":""True""}",4.5,"Restaurants, Pizza, Chicken Wings, Salad, Food"
Lee House,53.51545333862305,-113.49809265136719,75462,P & L Chinese Restaurant,53.538692,-113.50078,[0.],15,75462,RlLtCPvjTA3bS1_4DFvBRw,P & L Chinese Restaurant,10425 100th Avenue NW,T5J 0A3,"{""RestaurantsTableService"":""True"",""RestaurantsTakeOut"":""True"",""OutdoorSeating"":""False"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsGoodForGroups"":""True"",""NoiseLevel"":""u'average'"",""RestaurantsAttire"":""u'casual'"",""GoodForKids"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsDelivery"":""True""}",4.0,"Restaurants, Chinese"
Lee House,53.51545333862305,-113.49809265136719,52688,Cafe Amore Bistro,53.549686,-113.5069,"[ 91.6 175.6   0.  125.2 340.2  62.6 165.2 300.2 122.7 455.9 203.6  92.
 311.4 197.8 187.6 261.8]",15,52688,ivpULDSBS4mP3mJqmziKQw,Cafe Amore Bistro,10807 106 Avenue NW,T5H 4A7,"{""RestaurantsPriceRange2"":""2"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsGoodForGroups"":""True"",""Alcohol"":""u'full_bar'"",""RestaurantsTakeOut"":""True"",""HasTV"":""True"",""OutdoorSeating"":""True"",""BikeParking"":""True"",""RestaurantsReservations"":""True"",""Caters"":""True"",""WiFi"":""u'free'"",""NoiseLevel"":""u'average'"",""RestaurantsTableService"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"",""RestaurantsDelivery"":""True"",""GoodForKids"":""True"",""WheelchairAccessible"":""True"",""RestaurantsAttire"":""u'casual'"",""GoodForMeal"":""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}""}",4.5,"Italian, Restaurants, Cafes"
Lee House,53.51545333862305,-113.49809265136719,9874,Buffet Royale Carvery,53.531693,-113.61911,"[261.6 270.8   0.   74.2 116.  173.4 400.6  97.4 144.3 335.2 350.4 415.7
  18.1  18.9  93.9 265.4 430.7 418.  190.6 273.5 327.4 435.  483.  479.9
 493.8]",15,9874,EQr1Vo4yVsSy7hSbO4iURA,Buffet Royale Carvery,17202 95 Avenue,T5T 6N8,"{""HasTV"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""OutdoorSeating"":""False"",""GoodForKids"":""True"",""RestaurantsAttire"":""u'casual'"",""Alcohol"":""u'full_bar'"",""WiFi"":""u'free'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': False, 'casual': True}"",""NoiseLevel"":""u'average'"",""RestaurantsDelivery"":""True"",""Caters"":""False"",""BikeParking"":""True"",""RestaurantsTakeOut"":""True""}",3.0,"Breakfast & Brunch, Seafood, Buffets, Chinese, Restaurants"
