STORE ID,STORE,LATITUDE,LONGITUDE,NEIGHBOR ID,NEIGHBOR STORE,NEIGHBOR LATITUDE,NEIGHBOR LONGITUDE,DISTANCE,COUNTS,id,business_id,name,address,postal_code,attributes,stars,categories
105,Subway,53.51830291748047,-113.50560760498047,131438,Oodle Noodle,53.517788,-113.50945,428.2,15,131438,pCQwiWrZR1_oMxJikUYQyg,Oodle Noodle,10842 Jasper Avenue,T5J 1Y8,"{""RestaurantsTakeOut"":""True"",""Alcohol"":""u'none'"",""NoiseLevel"":""u'very_loud'"",""Caters"":""False"",""RestaurantsDelivery"":""True"",""GoodForKids"":""True"",""DriveThru"":""False"",""RestaurantsTableService"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""OutdoorSeating"":""False"",""RestaurantsAttire"":""'casual'"",""BikeParking"":""False"",""HasTV"":""True"",""RestaurantsReservations"":""False"",""RestaurantsPriceRange2"":""2"",""RestaurantsGoodForGroups"":""True"",""WiFi"":""'free'""}",3.0,"Restaurants, Chinese, Food, Noodles"
105,Subway,53.51830291748047,-113.50560760498047,132955,Pizza Hut,53.517868,-113.509895,477.2,15,132955,WhszL5iZyTcXF3rEVoMUqg,Pizza Hut,10809-82nd Avenue,T6E 2B2,"{""RestaurantsDelivery"":""True"",""RestaurantsTakeOut"":""True""}",2.0,"Restaurants, Pizza, Chicken Wings, Food Delivery Services, Food, Italian"
105,Subway,53.51830291748047,-113.50560760498047,7965,Panago Pizza,53.51834,-113.508,266.4,15,7965,dc4qfC3jgnkGkN18zJElVg,Panago Pizza,10742 - 82nd Avenue,T6E 6P4,"{""RestaurantsGoodForGroups"":""False"",""RestaurantsPriceRange2"":""2"",""RestaurantsDelivery"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""OutdoorSeating"":""False"",""WiFi"":""'no'"",""NoiseLevel"":""u'quiet'"",""RestaurantsReservations"":""False"",""GoodForKids"":""True"",""BikeParking"":""True"",""HasTV"":""True"",""RestaurantsAttire"":""'casual'"",""RestaurantsTakeOut"":""True""}",3.5,"Food, Restaurants, Pizza, Chicken Wings, Food Delivery Services, Salad"
105,Subway,53.51830291748047,-113.50560760498047,136291,Queen Donair,53.517933,-113.50234,363.5,15,136291,0l-h_UaRieer31MzW4rD1g,Queen Donair,10547 82 Ave NW,T6E 2A4,"{""RestaurantsAttire"":""'casual'"",""GoodForKids"":""True"",""RestaurantsReservations"":""False"",""RestaurantsGoodForGroups"":""True""}",2.5,"Fast Food, Food, Donairs, Restaurants, Middle Eastern, Pizza"
105,Subway,53.51830291748047,-113.50560760498047,119513,Tim Hortons,53.517757,-113.50144,463.8,15,119513,fjjcwhKHfHh9T4l3B83Pzw,Tim Hortons,10519 82 Ave,T6E 2A3,"{""GoodForKids"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsDelivery"":""False"",""RestaurantsReservations"":""False"",""RestaurantsPriceRange2"":""1"",""OutdoorSeating"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsAttire"":""u'casual'"",""NoiseLevel"":""u'average'"",""WiFi"":""u'free'"",""BikeParking"":""True"",""HasTV"":""True""}",2.5,"Sandwiches, Food, Restaurants, Donuts, Coffee & Tea"
105,Subway,53.51830291748047,-113.50560760498047,20255,Chatime,53.51826,-113.50204,397.0,15,20255,qwoCL9oMo827XnhvDaobmg,Chatime,10538 82 Avenue NW,T6E 2A4,"{""RestaurantsPriceRange2"":""1"",""BikeParking"":""True"",""WiFi"":""'free'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsTakeOut"":""True""}",3.0,"Taiwanese, Bubble Tea, Tea Rooms, Restaurants, Food, Juice Bars & Smoothies"
105,Subway,53.51830291748047,-113.50560760498047,83373,Blowers & Grafton,53.518364,-113.5028,312.2,15,83373,Hxze1h03tINbqkiE4wQMxg,Blowers & Grafton,10550 82 Ave NW,T6E 2A4,"{""Alcohol"":""u'full_bar'"",""WiFi"":""u'free'"",""RestaurantsGoodForGroups"":""True"",""HappyHour"":""True"",""GoodForKids"":""False"",""RestaurantsTakeOut"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsDelivery"":""True"",""OutdoorSeating"":""True"",""Ambience"":""{u'hipster': True, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': False}"",""BusinessParking"":""{u'valet': False, u'garage': None, u'street': None, u'lot': False, u'validated': None}"",""RestaurantsPriceRange2"":""2""}",4.0,"Canadian (New), Restaurants"
173,Filistix,53.5386962890625,-113.50425720214844,3501,Pampa Brazilian Steakhouse,53.537697,-113.50825,445.9,14,3501,bbzD8rZl3i-NTzernYkxig,Pampa Brazilian Steakhouse,9929-109 Street NW,T5K 1H6,"{""OutdoorSeating"":""True"",""Alcohol"":""u'full_bar'"",""WiFi"":""u'free'"",""Caters"":""False"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""False"",""HasTV"":""False"",""NoiseLevel"":""u'average'"",""RestaurantsAttire"":""u'casual'"",""RestaurantsReservations"":""True"",""RestaurantsTakeOut"":""False"",""RestaurantsTableService"":""True"",""RestaurantsDelivery"":""False"",""BikeParking"":""True"",""BusinessParking"":""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""GoodForDancing"":""False"",""CoatCheck"":""True"",""RestaurantsPriceRange2"":""3"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"",""Smoking"":""u'no'"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"",""Music"":""{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}""}",4.0,"Wine Bars, Bars, Brazilian, Steakhouses, Restaurants, Nightlife"
173,Filistix,53.5386962890625,-113.50425720214844,100516,Allegro Italian Kitchen,53.539265,-113.50785,400.4,14,100516,B4Bjhga60TNg7UeN0dmwIA,Allegro Italian Kitchen,10011 109 Street NW,T5J 3S8,"{""RestaurantsGoodForGroups"":""True"",""Alcohol"":""u'full_bar'"",""RestaurantsAttire"":""u'casual'"",""BikeParking"":""True"",""GoodForKids"":""False"",""OutdoorSeating"":""True"",""WiFi"":""u'no'"",""RestaurantsReservations"":""True"",""NoiseLevel"":""u'average'"",""Ambience"":""{'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""Caters"":""False"",""RestaurantsDelivery"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsPriceRange2"":""2"",""RestaurantsTakeOut"":""True"",""HasTV"":""True""}",4.0,"Restaurants, Italian"
173,Filistix,53.5386962890625,-113.50425720214844,69336,Queen Donair,53.541107,-113.506226,243.6,14,69336,OP7nOyJj7w93DvcNX4HdCQ,Queen Donair,10752 Jasper Avenue NW,T5J 2A7,"{""RestaurantsAttire"":""'casual'"",""GoodForKids"":""True"",""RestaurantsPriceRange2"":""1"",""RestaurantsTakeOut"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsReservations"":""False"",""BikeParking"":""True"",""RestaurantsDelivery"":""True"",""HasTV"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"",""OutdoorSeating"":""False"",""WiFi"":""u'free'"",""WheelchairAccessible"":""True""}",3.0,"Restaurants, Donairs, Fast Food, Food"
