,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,bus_id
all,board games 2,access wholly 1,place awesome meet 1,owner coffee smooth delicious well 1,papers printed 1,papers printed great 1,papers printed great customer 1,papers printed great customer service 1,place awesome 1,place awesome meet bob 1,owner coffee smooth 1,place awesome meet bob stopped 1,place bit 1,place bit hidden 1,place bit hidden clue 1,place bit hidden clue independent 1,owner coffee smooth delicious 1,owner coffee 1,place hang catch 1,open mic enjoyed visit awesome 1,open mic enjoyed visit 1,JX4tUpd09YFchLBuI43lGw
all,every day 2,whole rye 2,whole wheat 2,spelt flour 2,pastries happy spot edmonton continue 1,pastries happy spot edmonton 1,pastries happy spot 1,pastries happy 1,pastries bread organic yummy love 1,pastries bread organic yummy 1,pastries bread organic 1,pastries bread 1,owners knowlegable skilled put much 1,absolute favourite 1,owners knowlegable skilled put 1,pay loaf 1,owners knowlegable 1,owner sweetest woman tell passionate 1,owner sweetest woman tell 1,owner sweetest woman 1,owner sweetest 1,5BmQX4UVJY19mMtafMg7JA
all,staff friendly 2,accommodation tim 1,nobody else would take really 1,package waiting nobody else 1,package waiting nobody 1,package waiting 1,one example tim 1,one example 1,nobody else would take 1,place one 1,nobody else would 1,nobody else 1,never location quick turn minutes 1,never location quick turn 1,never location quick 1,never location 1,package waiting nobody else would 1,place one example 1,requested three dozen 1,quick turn 1,really appreciated going beyond 1,h_qlv6CIXGVurFOhFQ945w
all,beef burger 2,one person order fries burger 1,options friendly service 1,options friendly service definitely 1,options friendly service definitely stopping 1,order dine 1,order dine server 1,order dine server super 1,order dine server super friendly 1,order fries 1,order fries burger 1,order fries burger definitely 1,order fries burger definitely feel 1,order menu 1,order menu options 1,order menu options fantastic 1,order menu options fantastic looking 1,ordering ahead 1,ordering ahead time 1,options friendly 1,options fantastic looking something different 1,JfGfqCnk0-Tnf6PlahPUJQ
all,siphon coffee 3,really good 2,place store 1,quite intimidating 1,product enjoy design particular location 1,product enjoy design particular 1,product enjoy design 1,product enjoy 1,pleasant high ceilings really opens 1,pleasant high ceilings really 1,pleasant high ceilings 1,pleasant high 1,place store front showcases main 1,place store front showcases 1,place store front 1,actually indoor 1,quite intimidating first would 1,place ever west edmonton mall 1,place ever west edmonton 1,place ever west 1,place ever 1,JwBTq6IOFH97b9Hr6RT7pw
all,bulk barn 21,gluten free 7,love place 4,selection baking 4,go back 3,also carry 3,things like 3,bulk items 3,sugar free 3,spice jars 3,would go 2,love buying 2,baking goods 2,baking ingredients 2,staff member 2,cheaper price 2,gluten free products 2,order online 2,huge selection 2,barn love 2,bulk barn love 2,QU6xxKwHXR6xQ5oi2yIKLw
all,rice vermicelli 2,rice vermicelli bowls 2,downtown edmonton 2,bubble tea 2,vermicelli bowls 2,able compare 1,regularly come rice vermicelli 1,prices eat others 1,prices eat others vendors 1,prices eat others vendors around 1,regularly come 1,regularly come rice 1,reopened location 1,regularly come rice vermicelli bowls 1,reopened location thoroughly 1,reopened location thoroughly enjoyed 1,reopened location thoroughly enjoyed chicken 1,restaurant times 1,restaurant times got 1,restaurant times got happy 1,prices eat 1,GpFRwCHN0RI8yFbcfXjfUg
all,liquor store 23,sherbrooke liquor 13,beer selection 12,selection beer 10,beer cooler 9,craft beer 9,anywhere else 5,hard find 5,vast selection 5,store edmonton 5,liquor stores 5,best liquor store 5,best liquor 5,best selection 5,pretty much 4,best beer 4,something new 4,customer service 4,try something 4,find something 4,helpful staff 4,bf34LpGej_MZbOlAKB1beQ
all,sober cat 13,drunken ox 11,brussel sprouts 9,ox sober 8,ox sober cat 8,drunken ox sober cat 7,drunken ox sober 7,date night 6,go back 5,oxtail poutine 5,great place 5,bone marrow 5,cooked perfectly 4,food great 4,wagyu katsu 3,downtown edmonton 3,attention detail 3,wagyu katsu burger 3,wait go 3,open kitchen 3,wait go back 3,lPPYZr1_jx0XeW-xR9WJtw
all,love starbucks 2,always gives 1,really give sense 1,pumpkin spice latte calling name 1,reading work 1,reading work laptop 1,reading work laptop free 1,reading work laptop free wifi 1,really give 1,really give sense enjoy 1,pumpkin spice latte 1,really give sense enjoy work 1,regular basis 1,regular basis lots 1,regular basis lots natural 1,regular basis lots natural light 1,pumpkin spice latte calling 1,pumpkin spice 1,regular sure download 1,ps regular sure download app 1,ps regular sure download 1,Iipfa9Kaac9XH5Vo8GQwvg
